case_id,category,parser_error,http_status,finish_reason,requested_model,returned_model,raw_response_path,response_content,content_keys,answer_text_empty,citations_empty,confidence
case_0085,unanswerable_contradictory,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0085/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.86,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.86
case_0088,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0088/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0090,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0090/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0091,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0091/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0093,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0093/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0096,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0096/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0107,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0107/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0108,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0108/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0109,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0109/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0118,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0118/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.96,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.96
case_0124,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0124/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0128,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0128/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0140,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0140/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0144,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0144/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0145,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0145/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.96,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.96
case_0151,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0151/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0154,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0154/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0157,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0157/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0159,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0159/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0160,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0160/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.86,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.86
case_0161,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0161/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0169,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0169/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0174,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0174/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0175,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0175/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0184,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0184/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0192,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0192/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0201,answerable_clear,invalid_contract:nonanswer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0201/call-01-attempt-01.json,"{""answer_text"":""No answer can be given reliably from the supplied passages alone."",""citations"":[],""confidence"":0.98,""output_type"":""ABSTAIN""}","answer_text,citations,confidence,output_type",False,True,0.98
case_0216,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0216/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0225,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0225/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.96,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.96
case_0227,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0227/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0229,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0229/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0232,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0232/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0233,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0233/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0234,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0234/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0241,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0241/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.96,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.96
case_0245,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0245/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0250,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0250/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0256,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0256/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0259,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0259/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0275,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0275/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0276,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0276/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.96,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.96
case_0277,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0277/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0278,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0278/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0279,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0279/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0282,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0282/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0286,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0286/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0300,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0300/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
