configuration,case_id,category,confidence,confidently_wrong_at_0_8,citation_valid,failure_mode,raw_response_path,adjudication_reason
cheap__single_pass,case_0138,answerable_multihop,0.74,False,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0138/call-01-attempt-01.json,"Omits the registered negotiated, mediated, and arbitrated workplace outcome taxonomy."
cheap__single_pass,case_0145,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0145/call-01-attempt-01.json,"Omits cultural awareness, communication, analysis, and judgement capabilities."
cheap__single_pass,case_0151,answerable_clear,0.9,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0151/call-01-attempt-01.json,Omits staff escalation and regular complaint-data analysis.
cheap__single_pass,case_0179,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0179/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__single_pass,case_0189,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0189/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__single_pass,case_0192,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0192/call-01-attempt-01.json,"Omits accessibility, communication-needs, and suitable-channel elements."
cheap__single_pass,case_0195,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0195/call-01-attempt-01.json,"Omits escalation or fair, prompt, no-retaliation complaint treatment."
cheap__single_pass,case_0198,answerable_clear,0.74,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0198/call-01-attempt-01.json,Omits multiple governance and customer-support requirements.
cheap__single_pass,case_0240,answerable_clear,0.98,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0240/call-01-attempt-01.json,Omits enough detail for the complainant to understand the decision and consider escalation.
cheap__single_pass,case_0241,answerable_multihop,0.74,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0241/call-01-attempt-01.json,Omits several registered organisational benefits in the cross-guide comparison.
cheap__single_pass,case_0246,answerable_clear,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0246/call-01-attempt-01.json,Omits the sufficient-detail requirement and privacy/legislative exception.
cheap__single_pass,case_0248,answerable_clear,0.9,True,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0248/call-01-attempt-01.json,Omits the required independent-settlement procedure.
cheap__single_pass,case_0257,answerable_multihop,0.78,False,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0257/call-01-attempt-01.json,"Omits the award/agreement route, Commission referral, and review of the no-cost-assistance request."
cheap__single_pass,case_0259,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0259/call-01-attempt-01.json,Omits resource adequacy and the independent review option; some variants omit other checks.
cheap__single_pass,case_0276,answerable_multihop,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0276/call-01-attempt-01.json,"Omits the limitation-period exception, the expected 14-day AFCA window, or both."
cheap__single_pass,case_0284,answerable_multihop,0.86,True,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0284/call-01-attempt-01.json,Omits the independent-settlement requirement.
cheap__self_check,case_0049,answerable_multihop,0.98,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0049/call-02-attempt-01.json,Omits the detail needed to understand the rejection and assess escalation.
cheap__self_check,case_0050,answerable_multihop,0.86,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0050/call-02-attempt-01.json,Fails to support and apply the specific 45-day superannuation rule.
cheap__self_check,case_0054,answerable_multihop,0.95,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0054/call-02-attempt-01.json,Incomplete answer plus an irrelevant complaint-definition citation.
cheap__self_check,case_0076,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0076/call-02-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__self_check,case_0117,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0117/call-02-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__self_check,case_0142,answerable_clear,0.98,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0142/call-02-attempt-01.json,Cites a nonexistent passage ID.
cheap__self_check,case_0145,answerable_multihop,0.98,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0145/call-02-attempt-01.json,"Omits cultural awareness, communication, analysis, and judgement capabilities."
cheap__self_check,case_0151,answerable_clear,0.98,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0151/call-02-attempt-01.json,Omits staff escalation and regular complaint-data analysis.
cheap__self_check,case_0189,unanswerable_contradictory,0.98,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0189/call-02-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__self_check,case_0198,answerable_clear,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0198/call-02-attempt-01.json,Omits multiple governance and customer-support requirements.
cheap__self_check,case_0248,answerable_clear,0.98,True,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0248/call-02-attempt-01.json,Omits the required independent-settlement procedure.
cheap__self_check,case_0259,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0259/call-02-attempt-01.json,Omits resource adequacy and the independent review option; some variants omit other checks.
cheap__self_check,case_0269,answerable_clear,0.98,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0269/call-02-attempt-01.json,Omits the exception that can still require a written response.
cheap__escalation,case_0014,answerable_multihop,0.74,False,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0014/call-01-attempt-01.json,Omits the expert-advice distinction for conciliation.
cheap__escalation,case_0049,answerable_multihop,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0049/call-01-attempt-01.json,Omits the detail needed to understand the rejection and assess escalation.
cheap__escalation,case_0050,answerable_multihop,0.74,False,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0050/call-02-attempt-01.json,Fails to support and apply the specific 45-day superannuation rule.
cheap__escalation,case_0074,answerable_clear,0.86,True,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0074/call-01-attempt-01.json,Answers only the arbitration branch and omits the party-controlled mediated outcome.
cheap__escalation,case_0076,unanswerable_contradictory,0.86,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0076/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__escalation,case_0080,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0080/call-01-attempt-01.json,Omits AFCA membership from the generally required arrangements.
cheap__escalation,case_0085,unanswerable_contradictory,0.78,False,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0085/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__escalation,case_0088,answerable_clear,0.9,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0088/call-01-attempt-01.json,Adds an irrelevant document-history citation.
cheap__escalation,case_0089,answerable_clear,0.78,False,True,Stopped before the external-escalation duty,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0089/call-01-attempt-01.json,Omits required AFCA access/contact information or the duty to inform the complainant.
cheap__escalation,case_0104,answerable_multihop,0.78,False,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0104/call-01-attempt-01.json,Omits exceptions that still require a written response.
cheap__escalation,case_0117,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0117/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__escalation,case_0124,answerable_clear,0.86,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0124/call-02-attempt-01.json,Adds an irrelevant ordinary-IDR-response citation.
cheap__escalation,case_0128,answerable_clear,0.9,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0128/call-01-attempt-01.json,Omits unlicensed carried over instrument lenders from the requested list.
cheap__escalation,case_0138,answerable_multihop,0.74,False,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0138/call-02-attempt-01.json,"Omits the registered negotiated, mediated, and arbitrated workplace outcome taxonomy."
cheap__escalation,case_0145,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0145/call-01-attempt-01.json,"Omits cultural awareness, communication, analysis, and judgement capabilities."
cheap__escalation,case_0151,answerable_clear,0.9,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0151/call-01-attempt-01.json,Omits staff escalation and regular complaint-data analysis.
cheap__escalation,case_0180,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0180/call-01-attempt-01.json,The financial half omits complaint-data analysis for systemic issues and improvement.
cheap__escalation,case_0189,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0189/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__escalation,case_0192,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0192/call-01-attempt-01.json,"Omits accessibility, communication-needs, and suitable-channel elements."
cheap__escalation,case_0195,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0195/call-01-attempt-01.json,"Omits escalation or fair, prompt, no-retaliation complaint treatment."
cheap__escalation,case_0198,answerable_clear,0.72,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0198/call-01-attempt-01.json,Omits multiple governance and customer-support requirements.
cheap__escalation,case_0227,answerable_clear,0.9,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0227/call-01-attempt-01.json,Omits outcome-approval and financial-delegation requirements.
cheap__escalation,case_0240,answerable_clear,0.9,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0240/call-01-attempt-01.json,Omits enough detail for the complainant to understand the decision and consider escalation.
cheap__escalation,case_0246,answerable_clear,0.78,False,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0246/call-01-attempt-01.json,Omits the sufficient-detail requirement and privacy/legislative exception.
cheap__escalation,case_0248,answerable_clear,0.9,True,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0248/call-01-attempt-01.json,Omits the required independent-settlement procedure.
cheap__escalation,case_0257,answerable_multihop,0.78,False,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0257/call-01-attempt-01.json,"Omits the award/agreement route, Commission referral, and review of the no-cost-assistance request."
cheap__escalation,case_0259,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0259/call-01-attempt-01.json,Omits resource adequacy and the independent review option; some variants omit other checks.
cheap__escalation,case_0276,answerable_multihop,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0276/call-01-attempt-01.json,"Omits the limitation-period exception, the expected 14-day AFCA window, or both."
standard__single_pass,case_0075,unanswerable_contradictory,0.78,False,True,Answered an under-specified question,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0075/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__single_pass,case_0117,unanswerable_contradictory,0.98,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0117/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__single_pass,case_0189,unanswerable_contradictory,0.98,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0189/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__self_check,case_0071,unanswerable_missing,0.99,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__standard__self_check__1b1581710af2__af282e540fce/case_0071/call-02-attempt-01.json,The corpus names redundancy pay but does not support the asserted seven-year amount.
standard__escalation,case_0010,unanswerable_contradictory,0.96,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0010/call-02-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__escalation,case_0014,answerable_multihop,0.86,True,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0014/call-01-attempt-01.json,Omits the expert-advice distinction for conciliation.
standard__escalation,case_0047,answerable_clear,0.9,True,True,Returned the opposite polarity,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0047/call-01-attempt-01.json,Leading yes reverses the supported answer.
standard__escalation,case_0049,answerable_multihop,0.9,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0049/call-01-attempt-01.json,Omits the detail needed to understand the rejection and assess escalation.
standard__escalation,case_0050,answerable_multihop,0.74,False,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0050/call-01-attempt-01.json,Fails to support and apply the specific 45-day superannuation rule.
standard__escalation,case_0076,unanswerable_contradictory,0.86,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0076/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__escalation,case_0080,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0080/call-01-attempt-01.json,Omits AFCA membership from the generally required arrangements.
standard__escalation,case_0085,unanswerable_contradictory,0.86,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0085/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__escalation,case_0088,answerable_clear,0.9,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0088/call-01-attempt-01.json,Adds an irrelevant document-history citation.
standard__escalation,case_0089,answerable_clear,0.78,False,True,Stopped before the external-escalation duty,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0089/call-01-attempt-01.json,Omits required AFCA access/contact information or the duty to inform the complainant.
standard__escalation,case_0104,answerable_multihop,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0104/call-01-attempt-01.json,Omits exceptions that still require a written response.
standard__escalation,case_0117,unanswerable_contradictory,0.86,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0117/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__escalation,case_0128,answerable_clear,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0128/call-01-attempt-01.json,Omits unlicensed carried over instrument lenders from the requested list.
standard__escalation,case_0138,answerable_multihop,0.74,False,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0138/call-01-attempt-01.json,"Omits the registered negotiated, mediated, and arbitrated workplace outcome taxonomy."
standard__escalation,case_0151,answerable_clear,0.9,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0151/call-01-attempt-01.json,Omits staff escalation and regular complaint-data analysis.
standard__escalation,case_0189,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0189/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
standard__escalation,case_0192,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0192/call-01-attempt-01.json,"Omits accessibility, communication-needs, and suitable-channel elements."
standard__escalation,case_0195,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0195/call-01-attempt-01.json,"Omits escalation or fair, prompt, no-retaliation complaint treatment."
standard__escalation,case_0198,answerable_clear,0.72,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0198/call-01-attempt-01.json,Omits multiple governance and customer-support requirements.
standard__escalation,case_0240,answerable_clear,0.9,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0240/call-01-attempt-01.json,Omits enough detail for the complainant to understand the decision and consider escalation.
standard__escalation,case_0246,answerable_clear,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0246/call-01-attempt-01.json,Omits the sufficient-detail requirement and privacy/legislative exception.
standard__escalation,case_0248,answerable_clear,0.9,True,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0248/call-01-attempt-01.json,Omits the required independent-settlement procedure.
standard__escalation,case_0257,answerable_multihop,0.78,False,True,Substituted an adjacent procedural route,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0257/call-01-attempt-01.json,"Omits the award/agreement route, Commission referral, and review of the no-cost-assistance request."
standard__escalation,case_0259,answerable_multihop,0.78,False,True,Truncated a multihop checklist,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0259/call-01-attempt-01.json,Omits resource adequacy and the independent review option; some variants omit other checks.
standard__escalation,case_0276,answerable_multihop,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__standard__escalation__1b1581710af2__9d564a17727a/case_0276/call-01-attempt-01.json,"Omits the limitation-period exception, the expected 14-day AFCA window, or both."
capable__single_pass,case_0007,unanswerable_contradictory,0.88,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0007/call-01-attempt-01.json,"The answer resolves a deliberately ambiguous service scope, and the citations do not establish the asserted corpus-wide rule."
capable__single_pass,case_0010,unanswerable_contradictory,0.95,True,True,Answered an under-specified question,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0010/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
capable__single_pass,case_0012,answerable_clear,0.98,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0012/call-01-attempt-01.json,The sole passage ends before the RSA-holder language quoted in the answer.
capable__single_pass,case_0021,answerable_clear,0.84,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0021/call-01-attempt-01.json,Omits the requested death-benefit constraint.
capable__single_pass,case_0029,unanswerable_contradictory,0.95,True,True,Answered an under-specified question,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0029/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
capable__single_pass,case_0032,answerable_clear,0.72,False,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0032/call-01-attempt-01.json,"Does not give the supported rule that a hardship notice is not automatically a complaint, and the citations do not support the missing exception."
capable__single_pass,case_0038,answerable_multihop,0.95,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0038/call-01-attempt-01.json,Omits manager training and employee communication from the registered multihop answer.
capable__single_pass,case_0049,answerable_multihop,0.97,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0049/call-01-attempt-01.json,Omits the detail needed to understand the rejection and assess escalation.
capable__single_pass,case_0050,answerable_multihop,0.95,True,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0050/call-01-attempt-01.json,Fails to support and apply the specific 45-day superannuation rule.
capable__single_pass,case_0054,answerable_multihop,0.98,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0054/call-01-attempt-01.json,"Omits provider selection, monitoring, and deficiency handling."
capable__single_pass,case_0068,unanswerable_contradictory,0.95,True,True,Answered an under-specified question,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0068/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
capable__single_pass,case_0074,answerable_clear,0.95,True,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0074/call-01-attempt-01.json,Answers only the arbitration branch and omits the party-controlled mediated outcome.
capable__single_pass,case_0075,unanswerable_contradictory,0.95,True,True,Answered an under-specified question,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0075/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
capable__single_pass,case_0076,unanswerable_contradictory,0.95,True,True,Answered an under-specified question,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0076/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
capable__single_pass,case_0080,answerable_multihop,0.95,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0080/call-01-attempt-01.json,Omits AFCA membership from the generally required arrangements.
capable__single_pass,case_0083,unanswerable_contradictory,0.97,True,True,Answered an under-specified question,results/raw/full_r3_v1__capable__single_pass__1b1581710af2__beec0d744d65/case_0083/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
